medication_name,times_prescribed
"Hydrochlorothiazide 25 MG Oral Tablet",3954
"insulin human  isophane 70 UNT/ML / Regular Insulin  Human 30 UNT/ML Injectable Suspension [Humulin]",3880
"1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen]",3388
"Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet",3347
"24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet",2895
"amLODIPine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet",2867
"Simvastatin 10 MG Oral Tablet",2273
"120 ACTUAT Fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler",2072
"NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler",2072
"Hydrochlorothiazide 12.5 MG",1598
