encounter_year,total_encounters
1912,2
1913,1
1916,3
1917,2
1918,1
1919,1
1920,2
1921,1
1922,1
1923,5
1924,9
1925,5
1926,5
1927,3
1928,2
1930,3
1931,2
1932,3
1933,4
1934,6
1935,6
1936,5
1937,8
1938,8
1939,12
1940,10
1941,17
1942,15
1943,29
1944,25
1945,21
1946,28
1947,32
1948,36
1949,37
1950,33
1951,38
1952,45
1953,37
1954,55
1955,45
1956,58
1957,66
1958,64
1959,69
1960,66
1961,79
1962,90
1963,86
1964,100
1965,100
1966,122
1967,112
1968,126
1969,134
1970,121
1971,155
1972,151
1973,154
1974,170
1975,165
1976,180
1977,207
1978,184
1979,188
1980,198
1981,219
1982,237
1983,255
1984,278
1985,290
1986,329
1987,314
1988,297
1989,308
1990,355
1991,357
1992,371
1993,397
1994,419
1995,398
1996,429
1997,397
1998,412
1999,545
2000,595
2001,612
2002,645
2003,664
2004,698
2005,629
2006,630
2007,658
2008,713
2009,647
2010,1646
2011,2340
2012,2364
2013,2476
2014,2457
2015,2463
2016,2548
2017,2587
2018,2542
2019,2415
2020,804
